pocket	qed	sa	logp	lipinski	score	minimize	dock	smiles
0	0.3606	0.80	0.683	5	-2.283	-2.584	-3.529	OS(O)(O)O
0	0.3419	0.82	-0.9286	5	-2.763	-2.943	-3.300	O=P(O)(O)O
0	0.4776	0.76	2.4393	5	-5.540	-5.603	-6.569	CC(N)CCCCCCOS(O)(O)O
0	0.3856	0.77	1.3534	5	-5.561	-5.896	-6.711	NC(=O)C=CCCCCOS(O)(O)O
0	0.3933	0.70	2.2153	5	-5.637	-5.966	-6.750	CC(N)C=CCCCCOS(O)(O)O
0	0.3769	0.78	3.1318	5	-5.637	-5.802	-6.667	CC(=N)CCCCCCOS(O)(O)O
0	0.2129	0.68	0.8695	4	-5.632	-5.803	-6.671	CC(=N)C(O)NCCCCOS(O)(O)O
0	0.2652	0.67	0.177	4	-5.184	-5.736	-6.555	CC(N)C(O)NCCCCOS(O)(O)O
0	0.3276	0.71	1.8802	5	-6.217	-6.395	-6.976	N=C(C=CCCCCOS(O)(O)O)CO
0	0.2778	0.68	-0.3821	5	-6.303	-6.460	-7.238	NC(=O)C1C(=O)N1CCCCOS(O)(O)O
0	0.2714	0.68	-0.2964	4	-5.221	-5.351	-6.898	CC(N)C(O)NC(=O)CCCOS(O)(O)O
0	0.4392	0.75	1.2634	5	-5.395	-5.852	-6.925	OS(O)(O)OCCCCNC1CCCNC1
0	0.1539	0.64	0.6743	4	-5.127	-5.638	-6.828	CC(N)C(NCCCCOS(O)(O)O)OO
0	0.3002	0.71	2.8158	5	-5.749	-5.894	-7.221	C=C(CCCCCOS(O)(O)O)C(=O)N=N
0	0.3914	0.69	2.8957	5	-5.735	-5.978	-7.219	CC(CCCCCOS(O)(O)O)C(=O)N=N
0	0.3379	0.67	-0.8916	4	-5.934	-6.121	-6.783	NC1C(O)C1NC(=O)CCCOS(O)(O)O
0	0.193	0.75	1.328	5	-5.803	-6.085	-7.103	CC(CCCCCOS(O)(O)O)C(=O)NN
0	0.4214	0.61	1.3344	5	-6.466	-6.633	-7.156	OC1C(CCCCOS(O)(O)O)CC2CN21
0	0.257	0.75	1.8435	5	-6.119	-6.242	-7.185	CC(CCCCCOS(O)(O)O)C(=O)NO
0	0.4988	0.74	0.7274	5	-6.046	-6.190	-6.852	CC(N)C(=O)N(C)CCCCOS(O)(O)O
0	0.4922	0.69	1.5893	5	-5.742	-6.202	-6.845	CC(N)C(C)N(C)CCCCOS(O)(O)O
0	0.2681	0.63	1.7371	5	-6.315	-6.345	-7.450	OOC1CC(CCCCOS(O)(O)O)CN1
0	0.3031	0.64	-0.5903	5	-6.205	-6.350	-7.104	NC(=O)C1C(O)N1CCCCOS(O)(O)O
0	0.4179	0.75	-0.0882	5	-5.205	-5.737	-6.687	CC(N)C(=O)NC(=O)CCCOS(O)(O)O
0	0.394	0.65	0.4945	5	-6.366	-5.626	-6.875	O=C(CC1CN1)N1CC1CCCOS(O)(O)O
0	0.2654	0.61	-0.6923	4	-5.874	-6.130	-7.089	O=C1NC2NC2C1NCCCCOS(O)(O)O
0	0.4554	0.76	0.79	5	-5.899	-5.973	-7.044	O=C(CCCOS(O)(O)O)NC1CCCNC1
0	0.4329	0.64	1.8502	5	-6.950	-7.180	-8.002	OC1CC2OC2CC1CCCCOS(O)(O)O
0	0.2043	0.65	0.5393	4	-5.809	-6.025	-6.691	CC(C(O)NO)N(C)CCCCOS(O)(O)O
0	0.4453	0.53	0.7606	5	-8.041	-8.216	-8.735	CC12NC1CC1C(=CCCOS(O)(O)O)N1C2=O
0	0.3633	0.64	-0.4073	4	-6.493	-6.834	-7.539	NC1CN(CCCCOS(O)(O)O)C(=O)NC1O
0	0.4409	0.65	0.3019	5	-7.730	-7.888	-8.670	NC1NC(=O)C(CCCCOS(O)(O)O)CC1=O
0	0.3983	0.60	0.8962	4	-7.444	-7.942	-8.517	NC1=CC(O)C(CCCCOS(O)(O)O)CC1O
0	0.4242	0.71	-0.1991	5	-6.754	-7.080	-7.715	NC1CN(CCCCOS(O)(O)O)C(=O)NC1=O
0	0.379	0.62	0.0937	4	-7.699	-7.965	-8.658	NC1NC(=O)C(CCCCOS(O)(O)O)CC1O
0	0.2863	0.52	1.8236	5	-7.979	-7.705	-7.751	CC(CC1(C=O)CC1=C=C(O)C(C)N)OS(O)(O)O
0	0.5981	0.41	0.4843	5	-7.366	-6.574	-7.928	NCC1C(O)NC2C(C3CC3OS(O)(O)O)C23CC13
0	0.5546	0.50	1.7195	5	-8.093	-7.722	-7.331	CC(CC1(C=O)CC1C1N=CCCC1O)OS(O)(O)O
0	0.3997	0.48	1.8499	5	-7.521	-7.213	-6.928	CNC1(C)OC1CC1CC1(C=O)CC(C)OS(O)(O)O
0	0.4682	0.54	1.2383	5	-8.172	-8.013	-8.238	CC(CC1(C=O)CC1C1NCCCC1O)OS(O)(O)O
0	0.1766	0.51	0.9806	4	-7.681	-7.555	-6.982	CNC(CC1(C=O)CC1=C=C(O)C(C)N)OS(O)(O)O
0	0.2998	0.51	0.1346	4	-7.730	-7.995	-6.841	CC(N)(CC1(C=O)CC1C1CC(O)CN1)OS(O)(O)O
0	0.184	0.50	1.11	4	-8.026	-7.958	-6.577	CC(N)C(O)=C=C1CC1(C=O)CC(C)(N)OS(O)(O)O
0	0.3345	0.53	1.4602	4	-8.038	-8.227	-6.605	CC(N)(CC1(C=O)CC1c1occ(N)c1O)OS(O)(O)O
0	0.5152	0.53	1.6233	5	-7.054	-7.281	-8.040	NCC1=NCC(CCC(OS(O)(O)O)c2ccc3n2C3N)=C1
0	0.4078	0.53	1.057	4	-7.025	-7.246	-8.014	NCC1=NCC(CCC(OS(O)(O)O)C2CCCC(N)N2)=C1
0	0.4906	0.43	1.0498	5	-8.157	-9.078	-9.573	CC1=C(C2C3C(C4NC4N)C4CC4(OS(O)(O)O)C23)CN=C1
0	0.2974	0.51	0.391	4	-7.446	-7.330	-6.981	CC(CC1(C2CN2)CC1C(O)CC(O)C(C)O)OS(O)(O)O
0	0.4063	0.42	0.6469	4	-9.910	-9.970	-10.413	CC(C1C2C(C3NC3N)C3CC3(OS(O)(O)O)C21)C1(C)CN1
0	0.476	0.43	1.0739	5	-9.885	-9.912	-10.386	CC(C1C2C(C3OC3N)C3CC3(OS(O)(O)O)C21)C1(C)CN1
0	0.3459	0.52	-0.0799	4	-9.037	-8.731	-8.981	NC1CCN(CCC(C2CC2OS(O)(O)O)C2OC2N)C(=O)N1
0	0.3528	0.57	1.3182	4	-7.695	-7.730	-7.404	CC(CCN1CCCNC1=O)C1NC1(OS(O)(O)O)c1ccc(N)[nH]1
0	0.1835	0.50	0.833	4	-8.687	-8.577	-8.819	CN(C=N)C=CCC(CC1(C2OC2=N)c2cc(O)c(CO)nc21)OS(O)(O)O
0	0.2182	0.55	0.3323	3	-8.103	-8.247	-8.483	CN(C=N)C=CCC(CC1(CC(N)=O)c2cc(O)c(CO)nc21)OS(O)(O)O
0	0.3123	0.43	0.5869	5	-8.850	-9.312	-9.906	C=C1C(=O)NC(C)NC(=O)C1C1C2C(C(O)CC=N)C3CC3(OS(O)(O)O)C12
0	0.1984	0.39	-0.9872	5	-6.292	-6.768	-8.061	N=CNC=CCC(OS(O)(O)O)C1NCNC2OC2C12c1cc(O)c(CO)nc12
0	0.0974	0.48	-0.3124	4	-8.389	-8.894	-8.780	C=C1OC1C1(CC(CCCNC=N)OS(O)(O)O)C2CC(=O)C(C(=O)NC)NC21
0	0.1489	0.54	0.7857	4	-8.544	-8.915	-8.775	C=C1OC1C1(CC(CCCNC=N)OS(O)(O)O)c2cc(O)c(C(=O)NC)nc21
0	0.3363	0.40	-1.0791	4	-9.138	-9.518	-9.395	NC1NC=CC(C(OS(O)(O)O)C2=NOC(N)CC23c2cc(O)c(CO)nc23)N1
0	0.1639	0.44	-0.7997	3	-8.651	-8.723	-8.712	NC1=CCN(C2CC2(CC(CCC2NC2N2CC2)OS(O)(O)O)C2OC2(N)O)C=N1
0	0.2031	0.35	-0.8001	3	-8.164	-8.568	-7.475	CNC1=NC1C=CC(OS(O)(O)O)C1CNC2(N)OC2C12CC2N1C=NC(N)=CC1
0	0.2313	0.46	-0.2873	3	-8.523	-8.999	-7.075	NC1=CCN(C2CC2(C2OC2(N)O)C2OC2(OS(O)(O)O)c2ccc(N3CC3)o2)C=N1
0	0.3845	0.41	0.8563	4	-8.405	-9.007	-8.926	NC1=CCN(C2CC23C(C(OS(O)(O)O)c2ccc(N4CC4)o2)COC2(N)OC23)C=N1
0	0.1342	0.40	-0.9767	3	-9.161	-9.444	-9.524	[NH]C1=NC(C=C(OS(O)(O)O)C2CC2(CC(N)O)CC23C=C(O)C(N)=NN2C3=O)CN1
0	0.201	0.42	0.5403	3	-10.190	-9.762	-9.784	C=C1OC1C1(CC(=Cc2cn(C)nn2)OS(O)(O)O)CC12NC1=C(CN(N)CC1)C2O
0	0.1268	0.46	0.4547	3	-8.202	-9.004	-6.457	N#CNC(N)CC1(C2OC2(OS(O)(O)O)c2ccc(N3CC3)o2)CC1N1C=NC(N)=CC1
0	0.2573	0.39	-0.7856	3	-8.170	-8.393	-8.175	NC1=CCN(C2CC23C(C(CCN2CCN=CC2=O)OS(O)(O)O)=CNC2(N)OC23)C=N1
0	0.2303	0.38	-0.8779	5	-9.880	-10.096	-7.593	[NH]C1=NC(C=C(OS(O)(O)O)C2CC2(CC23C=C(O)C(N)=NN2C3=O)C2OC2([NH])O)CN1
0	0.3149	0.36	0.4172	3	-8.628	-8.896	-6.965	NC1=NOC(C(OS(O)(O)O)c2ccc(N3CC3)o2)C2(C1)CC2N1C2=NC(N)=C(O)C1N2
0	0.0867	0.44	-1.7588	3	-9.504	-9.289	-9.566	N=CN1CNC(N)=NC1C=CC(CC1(C2OC2N)c2cc(N)c(CO)nc21)OS(O)(O)O
0	0.1351	0.45	-2.4621	2	-8.184	-8.611	-6.556	NC1=CCN(C2CC2(C2OC2(N)O)C2NC2(CCN2CCNCC2=O)OS(O)(O)O)C=N1
0	0.2531	0.42	-0.8398	3	-8.324	-8.527	-7.693	NC1=CCN(C2CC23C(C(CCN2CCNCC2=O)OS(O)(O)O)=COC2(N)OC23)C=N1
0	0.08	0.45	-0.2362	3	-9.211	-8.886	-9.113	CC1=NC(C=CC(CC2(C3OC3(N)N)c3cc(O)c(CO)nc32)OS(O)(O)O)N(C=N)C=C1
0	0.1863	0.47	-0.282	4	-8.123	-8.213	-8.401	COC1=CC2(CC3(CC(N)=O)CC3C(=CC3CN(C)C(=O)N3)OS(O)(O)O)C(=O)N2N=C1N
0	0.1917	0.44	-0.4738	3	-7.818	-8.251	-7.806	COC1=CC2(CC3(C4OC4N)CC3C(=CC3CN(C)C(=O)N3)OS(O)(O)O)C(=O)N2N=C1N
0	0.0868	0.44	-2.066	2	-9.597	-9.232	-9.155	N=CN1CNCNN=C1C=CC(CC1(C2OC2(N)O)c2cc(O)c(CO)nc21)OS(O)(O)O
0	0.3285	0.41	-0.3745	4	-8.891	-9.306	-9.244	NC1=CCN(C2CC23C(C(CC(=O)n2ccncc2=O)OS(O)(O)O)=COC2(N)OC23)C=N1
0	0.2554	0.38	-1.1033	3	-9.090	-9.200	-8.824	NC1OC1C1(CC2(OS(O)(O)O)OC2C(=O)N2CC=NCC23C=N3)c2cc(O)c(CO)nc21
0	0.1196	0.42	-1.2422	3	-9.679	-9.914	-7.155	CN1CC(C=C(OS(O)(O)O)C2CC2(CC23C=C(O)C(N)=NN2C3=O)C2OC2(N)O)NC1=O
0	0.2766	0.36	-1.0916	4	-7.503	-8.377	-8.703	NC1=CCN(C2CC23C2OC2(N)OC2=NC23C(CCN2CCN=CC2=O)OS(O)(O)O)C=N1
0	0.1571	0.35	-0.4922	3	-9.167	-8.350	-8.682	C=C1OC1C(CC(=CC1NC1N(C)N1C=C1)OS(O)(O)O)C12CC1(O)C1=C(CNC3NC13)N2
0	0.0669	0.45	-1.3399	3	-9.029	-8.630	-8.941	N=CN1C=CC(N)=NC1C=CC(CC1(C2OC2(N)N)c2cc(O)c(CO)nc21)OS(O)(O)O
0	0.132	0.39	0.2327	2	-8.938	-9.074	-8.824	CC1=CN(CCCC(CC(C2NC2CC2NC2=N)C2OC2C=N)OS(O)(O)O)C2(O)NC2=N1
0	0.2213	0.42	-0.4556	3	-9.362	-9.235	-9.044	[NH]C12NC1=CC1=C(CN2C=CC(CC2(C3OC3N)c3cc(O)c(CO)nc32)OS(O)(O)O)N1
0	0.1764	0.52	0.4093	3	-8.809	-7.724	-7.599	CN(C=N)C=CCC(CC1(COC(N)=O)c2cc(NC(N)=O)c(C([NH])[NH])nc21)OS(O)(O)O
0	0.2344	0.31	-1.4186	3	-9.021	-9.400	-7.691	NC1=C(O)C2NC(=N1)N2C1CC1(CC1(OS(O)(O)O)C2C=C3OCC4CN4C3=NN21)C1OC1N
0	0.2878	0.45	1.743	3	-9.895	-9.926	-9.845	CC1C=C2C(CC(CC3(C4OC4N)c4cc(O)c(CO)nc43)OS(O)(O)O)=NC=CN2C(C)O1
0	0.301	0.34	-0.4052	4	-9.137	-9.494	-9.514	NC1=CCN(C2CC23C(C(C=CN2C(=O)NCNC4CC42)OS(O)(O)O)=COC2(N)OC23)C=N1
0	0.2859	0.45	1.6178	3	-9.859	-9.568	-9.775	CC1CC2C(CC(CC3(C4OC4N)c4cc(O)c(CO)nc43)OS(O)(O)O)=NC=CN2C(C)O1
0	0.2963	0.38	-1.1075	4	-7.320	-8.481	-8.592	NC1=CCN(C2CC23C2OC2(N)OC2=NC23C(CC(=O)n2ccncc2=O)OS(O)(O)O)C=N1
0	0.1588	0.32	-1.435	3	-9.077	-9.347	-7.347	NC1=C(O)C2NC(=N1)N2C1CC1(CC(N)O)CC1(OS(O)(O)O)C2C=C3OCC4CN4C3=NN21
0	0.1791	0.34	-1.0311	3	-8.776	-8.769	-9.214	N=CNC1=CN=CCN1C=CC(OS(O)(O)O)C1ON=C(N)C2N=C3C(O)=C(CO)N=C4C3C421
0	0.2241	0.42	0.0274	3	-9.494	-9.555	-9.976	[NH]C12NC1CCC1NC1CN2C=CC(CC1(C2OC2=N)c2cc(O)c(CO)nc21)OS(O)(O)O
0	0.231	0.37	-1.1553	3	-8.770	-9.291	-9.568	NC1=NOC(C(CC2CON=C3CNCCN32)OS(O)(O)O)C23C4=NC(CO)=C(O)C(=NC12)C43
0	0.209	0.41	-0.6651	3	-9.474	-9.295	-9.587	[NH]C12NC1CCC1NC1CN2C=CC(CC1(C2OC2N)c2cc(O)c(CO)nc21)OS(O)(O)O
0	0.2038	0.39	-1.6749	2	-9.134	-9.394	-9.698	NC12NOC(C(CC3CON=C4CNCCN43)OS(O)(O)O)C3(c4cc(O)c(CO)nc43)C1O2
0	0.1233	0.36	-1.5507	3	-9.681	-9.324	-9.995	N=CNC1=CN=CCN1C=CC(OS(O)(O)O)C1ONC2(N)OC2C12c1cc(O)c(CO)nc12
0	0.1234	0.38	-2.5517	1	-9.487	-9.874	-7.963	[NH]C12NC(C(CC3(C4OC4(N)O)CC3N3C=NC(N)=CC3)OS(O)(O)O)=CC1N(C1CN1)CCN2
0	0.2369	0.33	0.094	3	-8.029	-8.807	-9.341	[NH]CNC1OC12OC2C1(CC(=Cc2cnccn2)OS(O)(O)O)CC12NC1=C(CN3CC3C1)C2O
1	0.4284	0.92	0.3871	5	-1.989	-2.267	-2.523	CC(C)O
1	0.4645	0.90	0.9213	5	-3.087	-3.259	-3.550	OC1CCCC1
1	0.5147	0.98	1.3922	5	-3.761	-3.838	-4.015	Oc1ccccc1
1	0.4907	0.94	1.0978	5	-4.123	-4.177	-4.522	Oc1ccccc1O
1	0.3557	0.91	0.8034	5	-3.587	-4.207	-4.381	Oc1ccc(O)c(O)c1
1	0.4369	0.72	0.928	5	-4.121	-4.845	-5.147	O=C(NO)C1CCC2CC2C1
1	0.4632	0.53	2.9987	5	-4.974	-5.229	-5.736	CC1C=CC2C3(C)CCCC123
1	0.5613	0.86	1.362	5	-4.521	-4.770	-4.993	c1c2c(cc3c1OCCO3)C2
1	0.5708	0.48	1.4133	5	-5.137	-5.408	-5.839	OC1CCC23C4C5CC2C13CC54
1	0.5851	0.79	2.2348	5	-5.143	-5.309	-5.346	CC1Oc2ccccc2OC1C
1	0.6441	0.84	0.9189	5	-4.095	-4.163	-4.831	COc1cc(O)c(C=O)c(O)c1
1	0.5705	0.61	0.4614	5	-4.931	-5.115	-5.402	OC12CC1CC(N1CC1)C1CC12
1	0.6325	0.80	1.0676	5	-5.041	-5.428	-5.476	Oc1c2c(cc3c1OCCO3)C2
