pocket	qed	sa	logp	lipinski	score	minimize	dock	smiles
0	0.3228	0.66	-1.2152	5	-8.107	-7.627	-8.637	C=NC(=O)C[C@](N)(O)[C@H](CCC(=O)NC(=O)CC)C(=O)O
0	0.1827	0.61	-0.933	3	-7.598	-7.994	-7.367	CN(C)CCCC(N)(O)C(CCCOC(O)NC(C)(C)O)C(=O)O
0	0.2663	0.71	-2.0525	3	-8.426	-8.722	-9.062	O=C(CCCCO)NC1CCC(C(=O)NCCO)NC1C(=O)O
0	0.223	0.69	-1.2584	4	-8.173	-8.531	-10.161	C[C@H](CO)NC(=O)CCCC(=NC(=O)CC(=N)NC(N)=O)C(=O)O
0	0.0708	0.56	-2.1796	2	-8.396	-8.774	-9.288	C[C@](O)(CO)C(O)=NO[C@H]1C[C@@H]1CC(O)(O)[C@@](N)(O)CCCN1CC1
0	0.1544	0.64	-1.4914	3	-8.957	-9.392	-9.857	CC(O)CN(O)CCCCC(O)(O)C(N)(O)CCN(C)C
0	0.1114	0.60	-1.7812	3	-9.346	-9.206	-10.137	CC(C)(NO)C(O)C(CCC(O)NCCCCO)OC(O)O
0	0.2076	0.64	-0.3653	5	-7.671	-7.745	-8.095	C=NCCC[C@@](N)(O)C(O)(O)CCCC(=O)N(C(=O)O)C1CC1
0	0.134	0.65	-1.5861	3	-7.898	-8.398	-8.721	CCC(OCC(O)C(C)O)(C(=O)O)C(=O)NCCCCNCO
0	0.1216	0.59	-1.675	3	-8.954	-8.128	-9.816	CCCNC(O)OC(CC)CC(NC(=O)C=C=CC(N)(O)O)C(=O)O
0	0.1497	0.53	-2.7015	2	-9.015	-9.508	-10.182	CC(C)(O)NC(=O)C1CC1OC(NC(O)C=C=CNCC(N)=O)C(=O)O
0	0.1117	0.52	-1.5517	3	-9.061	-9.229	-10.539	[CH]=N[C@H](CO)CCCCN=C(CO)[C@H](CC)C(O)(O)N[C@H](C)[C@H](N)O
0	0.1554	0.57	-2.2365	2	-8.385	-8.722	-8.365	CN(CN)CCC[C@H](O)N=C(C(O)O)[C@H]1C[C@@](O)(N(CO)C(C)(C)O)C1
0	0.1579	0.64	-2.3381	3	-9.266	-9.463	-9.822	CC(O)C(O)C1(C(O)(O)COC(=O)CCNCO)CC1
0	0.1368	0.62	-0.6818	3	-8.802	-8.900	-7.460	C=C(O)N(CO)CN(C)C[C@H](C)[C@](O)(NCCCCCO)C(=O)O
0	0.2137	0.63	-0.3827	3	-8.062	-8.036	-8.674	CC(O)CC(O)NC1CCC1(CNCCCCCN)C(=O)O
0	0.1215	0.55	-2.3204	3	-9.951	-10.372	-10.317	C[C@H](O)N(CO)[C@@H]1CC[C@H](NC(=O)CC(=N)N(C)C=O)[C@@H](C(=O)O)N1
0	0.1127	0.63	-0.8948	3	-9.372	-9.830	-10.694	CCNCC[C@](N)(O)[C@H](CCCOC(=N)C(C)(C)O)C(O)O
0	0.1119	0.53	-2.2417	2	-9.068	-9.620	-9.655	C=C[C@](CN[C@@H](O)CC(=C)O)(C(O)O)[C@@](N)(O)CCN(C)CO
0	0.1994	0.69	-1.0395	3	-6.474	-7.125	-7.945	CCC(=O)NCCCC(C(=O)O)C(N)(O)CCCNCO
0	0.1384	0.60	-2.1299	3	-10.128	-10.476	-10.413	CC(O)C(=O)NCCCCC(O)(NC=C=CCN)C(O)O
0	0.1628	0.63	-2.9658	3	-8.512	-7.814	-9.438	CC(O)C(=O)NC(=O)CCC(C(=O)O)C(N)(O)CCNCN
