pocket	qed	sa	logp	lipinski	score	minimize	dock	smiles
0	0.4953	0.84	-0.1008	5	-2.342	-4.227	-4.651	NC1=CC=NC=N1
0	0.4033	0.60	-1.1099	5	-2.578	-4.270	-4.331	NC1=NC=NCN1
0	0.5254	0.70	-0.7252	5	-3.332	-4.671	-5.306	OC1CNC2=C1C=NC=N2
0	0.5357	0.83	0.7698	5	5.810	-2.819	-4.582	CN1C=CC2=C1N=CN=C2
0	0.5244	0.79	-0.4028	5	-4.596	-5.076	-6.053	O=C1CCC(C(=O)O)CN1
0	0.4766	0.77	0.6001	5	0.084	-4.220	-5.507	O=C1N=C2C=CN=CC2=N1
0	0.5823	0.78	-0.1269	5	-3.251	-5.161	-5.677	O=C1CCNC2=C1C=NC=N2
0	0.5259	0.73	-1.0124	5	-4.132	-6.160	-6.242	O=C1CNNC2=C1C=NC=N2
0	0.6077	0.88	-0.3992	5	-3.695	-5.171	-5.469	CC(=O)NC(=O)CCN(C)C
0	0.4382	0.53	-1.3952	5	-2.618	-3.701	-5.398	O=CNC1=C2N=CN=C=C2NN1
0	0.7119	0.92	1.2231	5	-5.456	-6.301	-6.981	O=C(O)NC(=O)CC1=CC=CC=C1
0	0.4262	0.75	-2.0111	5	-4.097	-5.041	-6.256	O=C1NC2=C(N1)C(=O)N=C(CO)N2
0	0.6068	0.70	-0.3595	5	-2.214	-3.401	-5.058	CN1C2=CC=NC(=O)N2CC1CO
0	0.4884	0.65	1.7638	5	-4.297	-6.070	-6.507	CCCCCC1=C=NC(NC=O)=C1
0	0.6121	0.62	-0.1663	5	-5.109	-6.361	-6.768	OCN(CO)C1=C2C=CCN=C2N=N1
0	0.7468	0.84	0.3067	5	-5.302	-6.227	-6.586	CCNC(=O)C1=CN=C2OCOC2=C1
0	0.5823	0.70	-0.868	5	-0.566	-3.949	-6.419	O=C1NC2=NC=CC2=CN1C(O)CO
0	0.562	0.61	-0.8876	5	-5.340	-6.241	-7.138	OCCC1CN=C(C2=CC(CO)=NC2)N1
0	0.7509	0.57	1.6909	5	-4.505	-5.977	-6.692	CC(C(=O)O)C1=C2C=C(F)C=NC2N=N1
0	0.6701	0.81	0.5401	5	-5.660	-7.302	-7.769	CC(C(=O)O)C(=O)NC(=O)C1CCCC1
0	0.5201	0.78	-0.2955	5	-2.945	-2.945	-6.350	CCN1C=C(C(=O)N[N+](=O)[O-])C=NC1=O
0	0.7058	0.62	0.4409	5	-5.283	-6.076	-6.663	C=C(C)N1C=NCC(C(CO)C(=O)O)=C1
0	0.455	0.82	-1.8663	4	-3.968	-4.923	-6.928	O=C1N=CC(C(=O)NC(CO)CO)=CN1
0	0.5262	0.73	-1.219	5	-3.648	-5.550	-6.183	CC(O)N1C=C(C(=O)NCO)C=NC1=O
0	0.6372	0.77	1.0772	5	-2.722	-4.734	-7.594	CC1=CN(C(=O)C2=CN(C)C(=O)N=C2)N=N1
0	0.617	0.61	-1.2556	5	-2.041	-4.190	-6.254	OC1OCCCN1C1=C2CN=CNC2=NN1
0	0.7725	0.74	1.0085	5	-3.589	-5.323	-7.193	CC=CC1=NC2=C(NC(N)=O)N=NN2C=C1
0	0.6306	0.69	-1.5127	5	-3.061	-4.935	-6.337	CC(O)N1C=NC(=O)C(C(=O)N(C)CO)=C1
0	0.5651	0.59	-1.4871	5	-5.796	-6.871	-7.307	CC1=NC(C2NC(CO)OCC2O)=NN=C1
0	0.7404	0.71	0.4806	5	-3.883	-6.082	-7.299	CC=CC1=NC2=C(NC(N)=O)N=NN2N=C1
0	0.6355	0.75	-0.0265	5	-3.154	-5.509	-6.810	CN1C=C(C(=O)N2C=C(N)N=N2)C=NC1=O
0	0.7334	0.65	-0.0342	5	-4.438	-5.155	-6.322	CC1C=NC(=O)N(C(=O)CCN(C)C)N1O
0	0.661	0.62	0.086	5	-4.366	-5.915	-6.344	CCC1=NC2=C(N(CO)CO)N=NC2=NC1
0	0.7606	0.66	1.5399	5	-5.553	-6.490	-6.613	C=C(C)N1C=C(C(CC)C(=O)O)CNC1=O
0	0.4512	0.59	-0.3119	5	-3.667	-6.263	-7.183	CCNC(O)C1=C=C2CCCNC2=NC1=O
0	0.3452	0.78	-1.4221	5	-4.587	-5.158	-6.143	CCN=C(NC(=O)NCCO)N(C)CCO
0	0.6357	0.58	-1.0096	5	0.421	-2.494	-6.145	COC(O)N(C)C1=C2CN=C(C)NC2=NN1
0	0.7003	0.62	0.2873	5	-3.112	-4.991	-6.575	CCC1=NC2=C(N3C=COC3)NNC2=NC1
0	0.5736	0.59	-0.617	5	-5.065	-6.784	-7.179	O=C(O)C1=CN(O)OC2=NC(C(=O)O)C=C12
0	0.6137	0.81	-1.4799	5	-3.251	-6.040	-7.148	CNC1=NC=C(C(=O)NC(C)C(N)=O)C=N1
0	0.4737	0.65	-1.1488	5	-3.619	-5.220	-6.456	CCC1=NC2=C(N3CCNC3)NNC2=NN1
0	0.4876	0.65	-1.0874	5	-1.374	-4.582	-6.440	CCC1=NC2=C(N(C)CCO)NNC2=NN1
0	0.6645	0.73	3.0052	5	-0.859	-2.049	-6.865	CC(C)N1C=C2CC3=C(C=CS3)OC2=NC1=O
0	0.7981	0.77	0.5476	5	-6.124	-7.114	-7.451	CN(CCO)C1=NC2=C(C=CC=C2O)C(=O)C1
0	0.7082	0.76	0.449	5	-5.519	-7.228	-7.812	CC1(O)CCN(C2=CC(CN)=CC=C2)C(=O)N1
0	0.5413	0.71	-1.0204	5	-4.976	-6.598	-7.884	O=C(O)C(=O)NC(=O)N1C=NC2=C(C=CN2)C1
0	0.5648	0.65	-0.6641	5	-3.515	-5.145	-6.563	O=CN(CO)C1=C2N=C3CC=CC3=NC2=NN1
0	0.5799	0.65	-0.3848	5	-4.799	-6.123	-7.092	C=C(C)N1C=C(C(C(N)=O)C(=O)O)CNC1=O
0	0.7288	0.70	-1.1046	5	-3.866	-5.702	-6.545	CC(O)N1C=NC(=O)C(C(=O)N2CCOC2)=C1
