pocket	qed	sa	logp	lipinski	score	minimize	dock	smiles
0	0.1449	0.46	0.9522	4	-7.489	-8.390	-9.047	CC(C)C1CC(=C=CC=NC=N)C(CC2CC(=O)C3C(CCC(O)(O)C3O)C2)C(CO)NC1=O
0	0.6199	0.59	0.0321	5	-5.581	-6.553	-7.663	CC1CN=C(CC2C(C)C(O)C(O)C2c2ccnc(C(N)=O)c2)N1
0	0.3811	0.67	0.2694	4	-7.235	-7.509	-7.746	O=C(O)NCc1cc(OC2(CO)CCC(O)C2)cc(C(CO)C(=O)O)c1
0	0.5568	0.59	2.3774	5	-7.312	-7.689	-8.543	CC(C(=O)O)c1cc(C(N)=O)cc(C(OF)C2=CCN(O)C(C)C2=CO)c1
0	0.2215	0.42	1.1551	3	-1.270	-2.073	-8.269	O=C1CC(C2NC(=O)N3CC(CCO)C(O)OCCC23)OC(C2CCCC2)CN(CC2OCC3C(F)=CCC=C23)C1CNC1CCNCO1
0	0.5448	0.56	2.6413	5	-5.354	-6.078	-7.066	CCCC(CC(=O)O)N(C1C=CC(C(O)C(C)N)C=C1)C1CCC(F)C1
0	0.1906	0.56	-0.2876	4	-6.213	-5.973	-8.485	CC(C)C(O)(O)CCN(C(=O)O)C1=CC(CC(O)C(=O)O)C=C(C(O)CO)C1
0	0.7989	0.62	3.3052	5	-5.560	-7.431	-8.315	CC(C)c1cc(C(CC2C=CC=C(F)C2)CC(N)C(=O)O)cnn1
0	0.3216	0.62	-1.538	5	-5.772	-7.036	-7.023	NCC(=O)CCC(CCC(=O)O)C1COC(C(O)O)C1O
0	0.6759	0.59	1.254	5	-8.916	-9.296	-8.719	CC(C(=O)O)C(O)C1CC(C(=O)C2CCCC(=O)NCC2)C2=C1OCC2
0	0.3241	0.49	0.5676	4	-1.299	-2.081	-7.333	COC1=CC(C(CC(=O)N(CO)C(N)=O)C2=NC3N=CNC(=N)C3=C(O)CC2)C=CC1=N
0	0.178	0.49	4.5404	2	27.669	10.369	-7.857	CC1(C)C=C(O)C(O)C(CC(Cc2ccncc2)CC(O)C(CC2=CCC=CC2)C(=O)O)C(C(F)(F)C(C)(F)CO)C1O
0	0.4801	0.51	1.1478	5	-9.539	-10.636	-10.768	CC(C(=O)O)N1NC(C(=C=C2C=CC(O)=CC2)C2CCC(=N)N2)CC1=O
0	0.5599	0.47	0.3021	5	-7.956	-8.248	-9.072	CC12OC(OC(=O)C1C1CC(NCC(O)C(=O)O)c3ccc(OF)cc31)OC2=O
0	0.0746	0.47	-2.4037	0	4.698	3.126	-7.123	CC(CNC(=O)CC(=O)O)CC1CN(C(=O)C(CO)C(OCO)C(=O)O)C2CN(C3C(C)C=C(O)C(O)C3C(=O)O)OC12
0	0.4707	0.65	3.4726	5	-1.928	-2.766	-6.013	CCCCC(=O)CCCC1(c2nc3c(CO)cccc3[nH]2)NCC(CO)CCS1
0	0.472	0.54	0.4164	5	-8.481	-8.701	-8.951	NCC12N=CCC(OC(CNC=CCCO)Cc3ccccn3)C1CC2O
0	0.1902	0.46	-1.1663	4	0.362	-1.313	-8.031	CC1=NC(C(=O)O)C=C(C2=C=C3CCC(NCO)C3C(O)C(NC(O)C(=O)O)O2)C=C1
0	0.5026	0.64	3.4537	5	-5.097	-5.813	-7.641	N=C1C=CC(C2=C(Nc3ccc(O)cc3F)NC2C2=C(C(=O)O)CCC2)C=C1
0	0.3224	0.58	1.2984	4	-3.520	-4.104	-8.008	CC(CCC(=O)O)CCC(CC1NCCC1CO)C(=O)C1=C(F)C(C(=O)O)CN1
0	0.1583	0.54	-3.1475	1	-7.122	-7.102	-8.541	CC1(O)NCCC(C(=O)CC(CNC(=O)C(O)CO)S(O)(O)C(O)CCO)N1
0	0.3753	0.53	2.5274	5	-6.541	-6.904	-7.470	O=C(O)CCNc1cc(C=CC(F)F)c(S)c(C2OOC3OCNC(=O)C(F)C32)c1
0	0.5548	0.72	-0.6896	5	-0.950	-2.342	-7.164	NC(=O)c1ccc(N2C(=O)N(C(N)=O)CC2C(O)CC(=O)O)cc1
